"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","dcterms_accessRights","dcterms_spatial","dcterms_temporal","refubium_affiliation","refubium_funding","refubium_isSupplementTo","refubium_note","refubium_resourceType","refubium_series","doi"
"oai:refubium.fu-berlin.de:fub188/42566.2","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",10,0,0,1,1,0,2,1,1,0,1,0,6,1,1,1,0,0,2,1,1,0,0,0,"10.17169/refubium-42290.2"
"oai:refubium.fu-berlin.de:fub188/31763","2021","https://creativecommons.org/licenses/by/4.0/",6,0,0,1,5,0,2,1,1,0,1,0,7,1,1,1,0,0,1,1,0,0,0,0,"10.17169/refubium-31495"
"oai:refubium.fu-berlin.de:fub188/24513","2017","https://creativecommons.org/licenses/by-sa/4.0/",5,2,0,1,1,0,2,1,1,0,1,0,5,1,1,1,1,1,2,0,3,0,0,0,"10.17169/refubium-2277"
"oai:refubium.fu-berlin.de:fub188/27044","2020","https://creativecommons.org/licenses/by/4.0/",3,0,0,1,1,0,2,1,1,0,1,0,4,2,1,1,1,1,2,1,0,0,0,0,"10.17169/refubium-26805"
"oai:refubium.fu-berlin.de:fub188/42566","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",9,0,0,1,1,0,2,1,1,0,1,0,6,1,1,1,0,0,2,1,1,0,0,0,"10.17169/refubium-42290"
"oai:refubium.fu-berlin.de:fub188/43413","2024","https://creativecommons.org/licenses/by-sa/4.0/",3,0,0,1,1,0,2,1,1,0,1,0,6,3,1,1,0,0,2,0,0,0,0,0,"10.17169/refubium-43130"
"oai:refubium.fu-berlin.de:fub188/35488","2022","https://creativecommons.org/licenses/by-sa/4.0/",2,0,0,1,1,0,2,2,1,0,1,0,9,1,1,1,0,0,3,0,1,0,0,0,"10.17169/refubium-35203"
"oai:refubium.fu-berlin.de:fub188/37898","2023","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,2,0,2,1,1,0,1,0,5,2,1,1,0,1,2,0,1,0,0,0,"10.17169/refubium-37614"
"oai:refubium.fu-berlin.de:fub188/41723","2023","https://creativecommons.org/public-domain/cc0/",4,0,0,1,2,0,2,1,1,0,1,0,5,2,1,1,1,1,2,1,0,0,0,0,"10.17169/refubium-41443"
"oai:refubium.fu-berlin.de:fub188/40306","2023","https://creativecommons.org/public-domain/cc0/",4,0,0,1,2,0,2,1,1,0,1,0,5,2,1,1,1,1,2,1,0,0,0,0,"10.17169/refubium-40027"
"oai:refubium.fu-berlin.de:fub188/32215","2020","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",3,0,0,1,1,0,2,1,1,0,1,0,5,3,1,1,0,0,2,1,0,0,0,0,"10.17169/refubium-31943"
